rank,champion_name,tier,lane,win_rate,pick_rate,ban_rate,pbi,games_played,tier_rank
1,Jax,S+,top,50.20,10.21,19.44,3,1737071,all
2,Fiora,S+,top,51.00,4.89,7.75,5,832573,all
3,Poppy,S,top,50.71,1.13,2.30,1,192796,all
4,Singed,S,top,52.80,1.53,0.48,4,260712,all
5,Zac,S,top,52.52,0.50,1.29,1,84558,all
6,Ornn,S,top,52.01,2.98,0.71,6,506742,all
7,Cassiopeia,S-,top,51.56,0.27,1.25,0,45372,all
8,Illaoi,S-,top,51.50,5.32,15.35,9,905128,all
9,Olaf,S-,top,50.73,2.14,1.87,2,364113,all
10,Rengar,S-,top,50.24,0.63,2.35,0,107455,all
11,Camille,A+,top,50.15,3.79,1.72,1,645528,all
12,Akshan,A+,top,50.90,0.35,2.88,0,59129,all
13,Vayne,A+,top,50.39,1.66,9.80,1,282490,all
14,Nasus,A+,top,52.42,5.85,6.50,15,995476,all
15,Quinn,A+,top,50.77,1.56,1.75,1,265108,all
16,Urgot,A,top,51.33,2.27,0.93,3,386941,all
17,Kled,A,top,51.30,1.23,0.74,2,209744,all
18,Garen,A,top,52.14,8.33,6.26,19,1417037,all
19,Swain,A,top,50.69,0.37,3.78,0,62117,all
20,Kayle,A,top,52.21,3.12,1.28,7,530479,all
21,Malphite,A,top,51.77,5.98,9.29,12,1018039,all
22,Sylas,A,top,49.36,0.89,19.95,-1,150648,all
23,Tahm Kench,A,top,50.73,2.47,1.85,2,419869,all
24,Maokai,A-,top,51.95,0.47,0.65,1,80454,all
25,Trundle,A-,top,52.31,9.87,18.19,28,1679527,all
26,Teemo,A-,top,50.49,5.12,10.21,3,871084,all
27,Tryndamere,A-,top,49.92,3.33,3.35,0,566218,all
28,Warwick,A-,top,51.01,1.36,3.69,1,231746,all
29,Riven,A-,top,49.83,4.79,1.49,-1,814863,all
30,Fiddlesticks,A-,top,50.52,0.14,1.85,0,23453,all
31,Dr. Mundo,A-,top,52.05,2.57,2.31,5,436788,all
32,Neeko,B+,top,49.72,0.15,4.50,0,24961,all
33,Udyr,B+,top,49.81,0.49,0.98,0,84207,all
34,Zed,B+,top,48.49,0.25,26.26,-1,43031,all
35,Shen,B+,top,50.14,1.82,0.25,0,309253,all
36,Aatrox,B+,top,49.48,10.59,12.78,-6,1802217,all
37,Mordekaiser,B+,top,50.43,5.54,7.81,3,942467,all
38,Azir,B+,top,48.87,0.12,0.75,0,20676,all
39,Aurelion Sol,B+,top,50.51,0.09,1.21,0,15786,all
40,Jayce,B+,top,48.26,4.42,2.77,-8,751356,all
41,Varus,B+,top,49.42,1.11,2.72,-1,189381,all
42,Darius,B,top,49.03,7.66,17.18,-9,1303441,all
43,Cho'Gath,B,top,50.10,2.21,0.90,0,375563,all
44,K'Sante,B,top,47.73,3.04,4.79,-7,517689,all
45,Lillia,B,top,50.50,0.36,2.40,0,61069,all
46,Irelia,B,top,49.37,3.69,10.39,-3,628425,all
47,Qiyana,B,top,47.27,0.06,0.36,0,10197,all
48,Yorick,B,top,50.40,3.43,5.00,1,583850,all
49,Anivia,B,top,49.96,0.07,1.13,0,11594,all
50,Kassadin,B,top,49.65,0.05,2.24,0,8340,all
51,LeBlanc,B,top,47.97,0.11,7.00,0,18112,all
52,Naafiri,B,top,50.07,0.21,3.27,0,36156,all
53,Vladimir,B-,top,49.07,0.70,3.33,-1,118846,all
54,Viktor,B-,top,50.35,0.11,1.21,0,18727,all
55,Heimerdinger,B-,top,49.69,0.82,1.66,0,138889,all
56,Galio,B-,top,49.24,0.11,0.38,0,18068,all
57,Renekton,B-,top,48.43,4.32,3.44,-7,735094,all
58,Karthus,B-,top,47.51,0.10,1.37,0,16288,all
59,Kennen,B-,top,48.47,1.47,0.73,-2,250497,all
60,Gwen,B-,top,49.09,3.43,2.21,-3,584214,all
61,Annie,B-,top,49.52,0.04,0.57,0,6906,all
62,Ryze,B-,top,49.41,0.37,0.23,0,63416,all
63,Rek'Sai,C+,top,47.73,0.02,0.59,0,4144,all
64,Sett,C+,top,49.93,5.92,2.80,0,1007940,all
65,Gragas,C+,top,47.90,0.92,0.60,-2,156955,all
66,Gnar,C+,top,49.03,2.66,0.62,-3,453303,all
67,Akali,C+,top,48.10,2.89,17.46,-7,491229,all
68,Rumble,C+,top,48.08,2.09,1.46,-4,355530,all
69,Volibear,C+,top,49.96,4.21,1.71,0,715898,all
70,Rammus,C+,top,49.89,0.22,11.25,0,37959,all
71,Sion,C,top,49.77,3.27,1.68,-1,557063,all
72,Malzahar,C,top,49.99,0.30,6.96,0,50638,all
73,Yasuo,C,top,47.01,2.52,23.83,-10,428972,all
74,Yone,C,top,47.95,9.67,27.89,-28,1644307,all
75,Graves,C,top,47.12,0.32,8.73,-1,55269,all
76,Kayn,C,top,47.01,0.24,11.07,-1,40315,all
77,Pantheon,C,top,48.77,2.28,3.48,-3,387349,all
78,Lissandra,C,top,49.08,0.08,1.19,0,14381,all
79,Ahri,C-,top,48.39,0.17,2.66,0,28216,all
80,Gangplank,C-,top,48.73,3.29,2.51,-4,558874,all
81,Kalista,C-,top,45.19,0.24,1.61,-1,40965,all
82,Ivern,C-,top,44.18,0.03,0.70,0,5220,all
83,Shaco,C-,top,47.96,0.38,28.13,-1,64632,all
84,Wukong,D+,top,49.75,0.52,0.34,0,87757,all
85,Karma,D+,top,46.62,0.20,1.25,-1,33554,all
86,Briar,D+,top,47.65,0.18,30.62,-1,30876,all
87,Shyvana,D+,top,49.76,0.33,0.55,0,56545,all
88,Master Yi,D,top,46.20,0.27,15.93,-1,46521,all
89,Veigar,D,top,48.96,0.21,3.23,0,35161,all
90,Corki,D,top,47.42,0.03,0.12,0,4734,all
91,Hwei,D,top,39.70,0.36,22.65,-5,60716,all
92,Xin Zhao,D-,top,46.62,0.19,0.32,-1,33150,all
93,Sejuani,D-,top,46.98,0.14,0.35,0,23233,all
94,Skarner,D-,top,45.15,0.09,0.11,0,14561,all
1,Jax,S+,jungle,50.69,2.37,19.44,2,403478,all
2,Briar,S+,jungle,52.76,7.03,30.62,28,1196654,all
3,Bel'Veth,S,jungle,50.55,3.35,3.96,2,569915,all
4,Graves,S,jungle,50.60,10.26,8.73,7,1745278,all
5,Karthus,S,jungle,50.58,2.19,1.37,1,372222,all
6,Taliyah,S-,jungle,50.53,2.01,1.01,1,341483,all
7,Ivern,S-,jungle,51.58,1.13,0.70,2,192233,all
8,Master Yi,S-,jungle,50.42,8.40,15.93,4,1429709,all
9,Ekko,A+,jungle,50.40,5.45,2.61,2,927945,all
10,Nocturne,A+,jungle,52.33,11.36,19.80,33,1932070,all
11,Zac,A+,jungle,50.80,2.99,1.29,2,508881,all
12,Brand,A+,jungle,51.71,3.35,7.77,6,570456,all
13,Poppy,A,jungle,50.04,2.56,2.30,0,435440,all
14,Kayn,A,jungle,50.06,11.31,11.07,1,1924534,all
15,Evelynn,A,jungle,50.51,3.94,5.22,2,670346,all
16,Fiddlesticks,A,jungle,51.02,2.86,1.85,3,485924,all
17,Talon,A,jungle,50.17,1.53,2.10,0,260866,all
18,Rammus,A,jungle,53.10,3.86,11.25,13,656607,all
19,Kha'Zix,A-,jungle,49.97,7.18,4.45,0,1220778,all
20,Maokai,A-,jungle,50.95,2.21,0.65,2,376329,all
21,Skarner,A-,jungle,50.65,0.44,0.11,0,74418,all
22,Lillia,A-,jungle,51.48,3.61,2.40,5,614226,all
23,Trundle,A-,jungle,51.90,2.31,18.19,5,392538,all
24,Rek'Sai,A-,jungle,49.88,0.93,0.59,0,158155,all
25,Rumble,B+,jungle,49.79,0.40,1.46,0,68278,all
26,Hecarim,B+,jungle,48.90,4.42,3.52,-5,751819,all
27,Udyr,B+,jungle,49.89,1.96,0.98,0,333085,all
28,Gwen,B+,jungle,49.78,0.44,2.21,0,74407,all
29,Kindred,B+,jungle,48.85,2.53,1.17,-3,431108,all
30,Shaco,B+,jungle,49.97,6.47,28.13,0,1100320,all
31,Amumu,B+,jungle,50.85,3.70,1.39,3,629640,all
32,Warwick,B+,jungle,50.21,5.03,3.69,1,856253,all
33,Rell,B,jungle,49.27,0.33,1.79,0,55897,all
34,Teemo,B,jungle,50.21,0.85,10.21,0,145246,all
35,Darius,B,jungle,48.35,0.26,17.18,-1,43433,all
36,Rengar,B,jungle,47.81,2.66,2.35,-6,452280,all
37,Lee Sin,B,jungle,48.49,15.11,11.60,-26,2571044,all
38,Viego,B,jungle,49.30,6.96,1.95,-5,1183299,all
39,Shyvana,B,jungle,50.94,2.35,0.55,2,399207,all
40,Vi,B,jungle,50.25,5.11,1.17,1,869744,all
41,Mordekaiser,B-,jungle,50.44,0.53,7.81,0,89486,all
42,Taric,B-,jungle,49.82,0.05,0.23,0,7961,all
43,Elise,B-,jungle,49.63,1.57,1.02,-1,267332,all
44,Gragas,B-,jungle,48.94,2.42,0.60,-3,411665,all
45,Jarvan IV,B-,jungle,49.62,5.87,3.37,-2,998461,all
46,Sylas,B-,jungle,47.68,3.34,19.95,-10,568373,all
47,Singed,B-,jungle,49.28,0.10,0.48,0,17561,all
48,Diana,B-,jungle,49.82,4.78,1.85,-1,813944,all
49,Nidalee,C+,jungle,47.77,3.15,1.77,-7,535679,all
50,Zed,C+,jungle,47.55,0.76,26.26,-3,129311,all
51,Nunu,C+,jungle,47.91,2.86,0.54,-6,486892,all
52,Qiyana,C+,jungle,46.53,0.31,0.36,-1,53465,all
53,Pantheon,C+,jungle,48.28,0.58,3.48,-1,98251,all
54,Sion,C+,jungle,48.72,0.18,1.68,0,31084,all
55,Neeko,C,jungle,47.02,0.15,4.50,0,25863,all
56,Xin Zhao,C,jungle,49.32,2.41,0.32,-2,409328,all
57,Olaf,C,jungle,46.86,0.26,1.87,-1,43534,all
58,Morgana,C,jungle,49.71,0.48,26.41,0,81015,all
59,Volibear,C,jungle,49.11,0.93,1.71,-1,158803,all
60,Tryndamere,C,jungle,46.01,0.33,3.35,-1,56968,all
61,Yorick,C-,jungle,48.53,0.09,5.00,0,15240,all
62,Sejuani,C-,jungle,48.60,2.47,0.35,-3,419367,all
63,Urgot,C-,jungle,45.26,0.05,0.93,0,8615,all
64,Dr. Mundo,C-,jungle,48.76,0.22,2.31,0,37377,all
65,Twitch,D+,jungle,41.56,0.32,4.62,-3,54368,all
66,Shen,D+,jungle,45.83,0.10,0.25,0,17010,all
67,Quinn,D+,jungle,44.60,0.05,1.75,0,8730,all
68,Nasus,D,jungle,47.39,0.30,6.50,-1,50193,all
69,Garen,D,jungle,46.12,0.35,6.26,-1,59619,all
70,Cho'Gath,D,jungle,45.34,0.21,0.90,-1,35410,all
71,Wukong,D-,jungle,47.71,1.62,0.34,-4,275318,all
72,Malphite,D-,jungle,44.90,0.43,9.29,-2,72659,all
73,Naafiri,D-,jungle,41.44,0.22,3.27,-2,37200,all
1,Taliyah,S+,middle,52.23,0.69,1.01,2,117115,all
2,Sylas,S+,middle,50.46,9.82,19.95,6,1670966,all
3,Talon,S,middle,51.29,3.53,2.10,5,601222,all
4,Galio,S,middle,52.03,1.78,0.38,4,302669,all
5,Swain,S,middle,53.58,1.00,3.78,4,170667,all
6,Xerath,S,middle,52.87,3.38,16.60,12,574478,all
7,Fizz,S-,middle,52.58,6.63,12.47,20,1127818,all
8,Singed,S-,middle,56.49,0.18,0.48,1,30834,all
9,Riven,S-,middle,52.41,0.33,1.49,1,55636,all
10,Syndra,S-,middle,50.34,7.69,7.44,3,1307694,all
11,Camille,A+,middle,52.42,0.11,1.72,0,18111,all
12,Lux,A+,middle,51.35,4.38,16.20,7,745052,all
13,Zac,A+,middle,54.39,0.12,1.29,1,19845,all
14,Tryndamere,A+,middle,52.53,0.25,3.35,1,43333,all
15,Twisted Fate,A+,middle,51.56,3.55,0.23,6,604702,all
16,Irelia,A+,middle,50.97,4.13,10.39,4,702833,all
17,Vladimir,A,middle,51.09,2.83,3.33,3,481775,all
18,Illaoi,A,middle,53.74,0.15,15.35,1,24946,all
19,Ekko,A,middle,50.82,2.86,2.61,2,486656,all
20,Akshan,A,middle,51.32,1.84,2.88,3,312475,all
21,Anivia,A,middle,52.58,1.54,1.13,4,261811,all
22,Brand,A,middle,51.74,1.34,7.77,3,227139,all
23,Quinn,A,middle,53.09,0.20,1.75,1,34662,all
24,Cassiopeia,A,middle,50.97,1.34,1.25,1,228435,all
25,Kassadin,A-,middle,51.90,2.06,2.24,4,350520,all
26,Naafiri,A-,middle,52.02,1.56,3.27,3,264763,all
27,Kennen,A-,middle,52.61,0.34,0.73,1,57164,all
28,Nasus,A-,middle,53.47,0.41,6.50,2,69580,all
29,Fiddlesticks,A-,middle,54.23,0.11,1.85,0,19493,all
30,Aurelion Sol,A-,middle,52.02,2.04,1.21,4,346278,all
31,Heimerdinger,A-,middle,51.62,0.66,1.66,1,111862,all
32,Pantheon,A-,middle,50.77,2.38,3.48,2,404703,all
33,Kled,B+,middle,53.69,0.11,0.74,0,18296,all
34,Garen,B+,middle,54.11,0.44,6.26,2,74340,all
35,Zilean,B+,middle,52.34,0.17,0.48,0,28558,all
36,Neeko,B+,middle,51.04,2.48,4.50,3,422624,all
37,Vex,B+,middle,51.61,4.14,4.54,7,704683,all
38,Ornn,B+,middle,51.58,0.07,0.71,0,12587,all
39,Diana,B+,middle,51.66,1.79,1.85,3,304694,all
