position,champion_name,grade_x,lane,win_rate,pick_rate,ban_rate,pbi,games_played,ranking,grade_y,grade,counter,win_rate_weak,games_played_weak,strong,win_rate_strong,games_played_strong,custom_grade
1,Jax,0.666,top,50.2,10.21,19.44,3,1737071,all,1.0,1.0,"['Garen', 'Illaoi', 'Dr. Mundo', 'Singed', 'Zac']","['44.01', '44.53', '44.85', '44.86', '45.8']","['100862', '50803', '28349', '14508', '5380']","['Irelia', 'Yasuo', 'Yone', 'Volibear', 'Warwick']","['55.01', '54.88', '54.02', '53.73', '52.95']","['33167', '19581', '89243', '33202', '9495']",0.8886666666666666
2,Fiora,0.666,top,51.0,4.89,7.75,5,832573,all,1.0,2.0,"['Warwick', 'Kayle', 'Malphite', 'Wukong', 'Illaoi']","['46.23', '46.78', '47.01', '47.43', '47.72']","['7564', '12532', '27335', '2686', '20090']","[""K'Sante"", 'Akali', 'Gwen', 'Sion', 'Sylas']","['55.97', '54.75', '54.5', '54.46', '54.18']","['17031', '12587', '14770', '16710', '3721']",1.222
3,Poppy,1.0,top,50.71,1.13,2.3,1,192796,all,2.0,4.0,"['Singed', 'Kayle', 'Olaf', 'Garen', 'Dr. Mundo']","['45.86', '46.13', '46.16', '46.34', '46.54']","['1378', '3061', '2684', '6752', '1981']","['Sylas', 'Gragas', 'Jayce', 'Yasuo', 'Akali']","['57.19', '55.65', '55.36', '54.8', '54.49']","['932', '859', '4801', '2208', '2841']",2.3333333333333335
4,Singed,1.0,top,52.8,1.53,0.48,4,260712,all,2.0,2.0,"['Vayne', 'Kayle', 'Urgot', 'Dr. Mundo', 'Trundle']","['46.07', '46.59', '48.82', '49.12', '49.55']","['1973', '5666', '3380', '4127', '12864']","['Gragas', 'Yasuo', 'Gwen', 'Akali', 'Zac']","['59.3', '58.36', '57.44', '57.33', '57.23']","['1135', '2971', '4641', '3035', '692']",1.6666666666666667
5,Zac,1.0,top,52.52,0.5,1.29,1,84558,all,3.0,4.0,"['Singed', 'Vayne', 'Volibear', 'Mordekaiser', 'Kennen']","['42.77', '47.64', '47.9', '48.39', '48.92']","['692', '594', '1885', '2145', '646']","['Sylas', 'Malphite', 'Pantheon', 'Tryndamere', 'Yasuo']","['58.61', '57.48', '57.23', '57.13', '56.78']","['633', '3304', '858', '1248', '1032']",2.6666666666666665
6,Ornn,1.0,top,52.01,2.98,0.71,6,506742,all,2.0,2.0,"['Singed', 'Fiora', 'Dr. Mundo', 'Trundle', 'Shen']","['46.59', '47.8', '48.21', '48.47', '48.63']","['4155', '16398', '7718', '26738', '5340']","['Renekton', 'Akali', 'Pantheon', 'Yasuo', 'Jayce']","['56.09', '55.89', '55.44', '55.32', '55.19']","['11355', '5810', '6263', '5376', '11945']",1.6666666666666667
7,Cassiopeia,1.333,top,51.56,0.27,1.25,0,45372,all,3.0,,"['Dr. Mundo', 'Tahm Kench', 'Singed', 'Olaf', 'Tryndamere']","['44.27', '46.19', '47.04', '47.55', '48.15']","['655', '565', '406', '654', '594']","['Sylas', 'Rumble', 'Shen', 'Heimerdinger', 'Teemo']","['59.73', '58.08', '56.71', '56.37', '55.31']","['437', '699', '492', '204', '2305']",2.1665
8,Illaoi,1.333,top,51.5,5.32,15.35,9,905128,all,1.0,1.0,"['Kayle', 'Yorick', 'Heimerdinger', 'Mordekaiser', 'Varus']","['45.05', '45.28', '45.6', '46.17', '46.8']","['18760', '20184', '3689', '41689', '7141']","['Sylas', 'Renekton', 'Akali', 'Wukong', 'Jax']","['58.62', '58.3', '56.06', '56.02', '55.47']","['3859', '20970', '9459', '2044', '50819']",1.111
9,Olaf,1.333,top,50.73,2.14,1.87,2,364113,all,2.0,3.0,"['Trundle', 'Kled', 'Kayle', 'Tryndamere', 'Illaoi']","['43.31', '45.13', '46.49', '46.72', '46.84']","['19510', '2812', '4666', '6053', '8880']","['Kennen', 'Varus', 'Jayce', 'Sylas', 'Gnar']","['56.13', '55.29', '54.64', '54.18', '54.04']","['2635', '2722', '7674', '1473', '5292']",2.111
10,Rengar,1.333,top,50.24,0.63,2.35,0,107455,all,3.0,5.0,"['Zac', 'Kled', 'Trundle', 'Illaoi', 'Warwick']","['44.95', '45.23', '45.23', '45.93', '46.47']","['505', '703', '5560', '2299', '794']","['Akali', 'Gangplank', 'Jayce', 'Sylas', 'Yone']","['57.53', '55.42', '55.08', '54.45', '53.64']","['1620', '2593', '3711', '461', '4899']",3.111
