grade,counter,win_rate_weak,games_played_weak,strong,win_rate_strong,games_played_strong,champion_name,tier,lane
1,"['garen', 'illaoi', 'drmundo', 'singed', 'zac']","['44.01', '44.53', '44.85', '44.86', '45.8']","['100862', '50803', '28349', '14508', '5380']","['irelia', 'yasuo', 'yone', 'volibear', 'warwick']","['55.01', '54.88', '54.02', '53.73', '52.95']","['33167', '19581', '89243', '33202', '9495']",jax,all,top
2,"['warwick', 'kayle', 'malphite', 'monkeyking', 'illaoi']","['46.23', '46.78', '47.01', '47.43', '47.72']","['7564', '12532', '27335', '2686', '20090']","['ksante', 'akali', 'gwen', 'sion', 'sylas']","['55.97', '54.75', '54.5', '54.46', '54.18']","['17031', '12587', '14770', '16710', '3721']",fiora,all,top
4,"['singed', 'kayle', 'olaf', 'garen', 'drmundo']","['45.86', '46.13', '46.16', '46.34', '46.54']","['1378', '3061', '2684', '6752', '1981']","['sylas', 'gragas', 'jayce', 'yasuo', 'akali']","['57.19', '55.65', '55.36', '54.8', '54.49']","['932', '859', '4801', '2208', '2841']",poppy,all,top
2,"['vayne', 'kayle', 'urgot', 'drmundo', 'trundle']","['46.07', '46.59', '48.82', '49.12', '49.55']","['1973', '5666', '3380', '4127', '12864']","['gragas', 'yasuo', 'gwen', 'akali', 'zac']","['59.3', '58.36', '57.44', '57.33', '57.23']","['1135', '2971', '4641', '3035', '692']",singed,all,top
4,"['singed', 'vayne', 'volibear', 'mordekaiser', 'kennen']","['42.77', '47.64', '47.9', '48.39', '48.92']","['692', '594', '1885', '2145', '646']","['sylas', 'malphite', 'pantheon', 'tryndamere', 'yasuo']","['58.61', '57.48', '57.23', '57.13', '56.78']","['633', '3304', '858', '1248', '1032']",zac,all,top
2,"['singed', 'fiora', 'drmundo', 'trundle', 'shen']","['46.59', '47.8', '48.21', '48.47', '48.63']","['4155', '16398', '7718', '26738', '5340']","['renekton', 'akali', 'pantheon', 'yasuo', 'jayce']","['56.09', '55.89', '55.44', '55.32', '55.19']","['11355', '5810', '6263', '5376', '11945']",ornn,all,top
,"['drmundo', 'tahmkench', 'singed', 'olaf', 'tryndamere']","['44.27', '46.19', '47.04', '47.55', '48.15']","['655', '565', '406', '654', '594']","['sylas', 'rumble', 'shen', 'heimerdinger', 'teemo']","['59.73', '58.08', '56.71', '56.37', '55.31']","['437', '699', '492', '204', '2305']",cassiopeia,all,top
1,"['kayle', 'yorick', 'heimerdinger', 'mordekaiser', 'varus']","['45.05', '45.28', '45.6', '46.17', '46.8']","['18760', '20184', '3689', '41689', '7141']","['sylas', 'renekton', 'akali', 'monkeyking', 'jax']","['58.62', '58.3', '56.06', '56.02', '55.47']","['3859', '20970', '9459', '2044', '50819']",illaoi,all,top
3,"['trundle', 'kled', 'kayle', 'tryndamere', 'illaoi']","['43.31', '45.13', '46.49', '46.72', '46.84']","['19510', '2812', '4666', '6053', '8880']","['kennen', 'varus', 'jayce', 'sylas', 'gnar']","['56.13', '55.29', '54.64', '54.18', '54.04']","['2635', '2722', '7674', '1473', '5292']",olaf,all,top
5,"['zac', 'kled', 'trundle', 'illaoi', 'warwick']","['44.95', '45.23', '45.23', '45.93', '46.47']","['505', '703', '5560', '2299', '794']","['akali', 'gangplank', 'jayce', 'sylas', 'yone']","['57.53', '55.42', '55.08', '54.45', '53.64']","['1620', '2593', '3711', '461', '4899']",rengar,all,top
3,"['illaoi', 'teemo', 'zac', 'kayle', 'jax']","['46.04', '46.16', '46.23', '47.15', '47.25']","['16876', '13243', '2371', '9355', '35207']","['sylas', 'yone', 'rumble', 'akali', 'jayce']","['54.56', '53.5', '53.39', '53.31', '53.18']","['2960', '29345', '5752', '8452', '14535']",camille,all,top
,"['tahmkench', 'malphite', 'jax', 'nasus', 'trundle']","['45.51', '45.72', '46.36', '47.44', '47.99']","['780', '2745', '2334', '1817', '2811']","['sylas', 'quinn', 'vayne', 'jayce', 'gnar']","['55.96', '55.13', '55.01', '54.54', '54.2']","['445', '867', '769', '1817', '1155']",akshan,all,top
4,"['malphite', 'teemo', 'nasus', 'monkeyking', 'quinn']","['40.65', '41.92', '42.68', '44.43', '45.68']","['10294', '7923', '9155', '637', '2360']","['gwen', 'darius', 'volibear', 'renekton', 'ksante']","['54.86', '54.79', '54.73', '54.51', '54.26']","['2745', '15534', '5176', '4333', '4615']",vayne,all,top
1,"['zac', 'garen', 'illaoi', 'tahmkench', 'singed']","['47.16', '47.91', '48.16', '48.47', '48.52']","['2496', '48666', '33669', '15328', '10065']","['kennen', 'vladimir', 'vayne', 'jayce', 'akali']","['59.21', '58.34', '57.31', '56.94', '56.43']","['9379', '3980', '9161', '20085', '11722']",nasus,all,top
4,"['malphite', 'drmundo', 'nasus', 'ornn', 'poppy']","['43.56', '45.48', '45.52', '45.81', '46.17']","['10379', '3472', '7366', '3351', '1111']","['volibear', 'sylas', 'jayce', 'gragas', 'darius']","['56.3', '55.89', '55.64', '54.98', '54.66']","['5213', '993', '7000', '1044', '12099']",quinn,all,top
3,"['drmundo', 'kayle', 'trundle', 'ornn', 'olaf']","['45.29', '46.52', '46.74', '47.58', '47.75']","['5683', '7343', '16901', '7503', '5696']","['akali', 'jayce', 'sylas', 'yone', 'kennen']","['57.77', '55.25', '54.63', '54.47', '54.47']","['4757', '6136', '1457', '16770', '2515']",urgot,all,top
4,"['singed', 'kayle', 'fiora', 'poppy', 'vayne']","['45.36', '47.04', '47.2', '47.66', '48.19']","['1638', '3297', '5176', '1259', '1770']","['sylas', 'yasuo', 'renekton', 'yorick', 'olaf']","['59.25', '55.31', '55.12', '54.95', '54.9']","['935', '2327', '5062', '3778', '2814']",kled,all,top
1,"['kayle', 'trundle', 'camille', 'zac', 'vayne']","['45.98', '47.85', '47.87', '48', '48.37']","['31732', '73215', '38304', '2706', '14561']","['jax', 'akali', 'yasuo', 'ksante', 'yone']","['56', '55.96', '55.93', '55.81', '55.77']","['100878', '17249', '16874', '24443', '67117']",garen,all,top
