champion_name,tier_rank,tier,counters_list,win_rate_list,role
Jax,PLATINUM_PLUS,1,"['Singed', 'Rengar', 'Dr. Mundo', 'Illaoi', 'Quinn']","['45', '46', '46', '46', '47']",TOP
Fiora,PLATINUM_PLUS,1,"['Warwick', 'Malphite', 'Riven', 'Urgot', 'Trundle']","['47', '48', '48', '49', '49']",TOP
Poppy,PLATINUM_PLUS,2,"['Vayne', ""Cho'Gath"", 'Olaf', 'Darius', 'Garen']","['44', '46', '46', '46', '48']",TOP
Singed,PLATINUM_PLUS,2,"['Vayne', 'Poppy', 'Kayle', 'Camille', 'Urgot']","['47', '47', '48', '48', '48']",TOP
Zac,PLATINUM_PLUS,3,"['Singed', 'Ornn', 'Mordekaiser', 'Volibear', 'Olaf']","['40', '40', '41', '45', '45']",TOP
Ornn,PLATINUM_PLUS,2,"['Fiora', 'Singed', 'Olaf', 'Trundle']","['47', '47', '48', '48']",TOP
Cassiopeia,PLATINUM_PLUS,3,"['Sion', 'Ornn', 'Yasuo', 'Syndra', 'Darius']","['35', '41', '45', '46', '46']",TOP
Illaoi,PLATINUM_PLUS,1,"['Varus', 'Kayle', 'Gwen', 'Mordekaiser', 'Trundle']","['46', '46', '47', '48', '49']",TOP
Olaf,PLATINUM_PLUS,2,"['Vayne', 'Trundle', 'Kled', 'Quinn', 'Akali']","['46', '47', '48', '48', '49']",TOP
Rengar,PLATINUM_PLUS,3,"['Kled', 'Varus', 'Warwick', 'Singed', 'Tryndamere']","['46', '47', '47', '47', '47']",TOP
Camille,PLATINUM_PLUS,2,"['Shen', 'Poppy', 'Warwick', 'Jax', 'Pantheon']","['48', '49', '49', '49', '50']",TOP
Akshan,PLATINUM_PLUS,3,"['Poppy', 'Mordekaiser', 'Shen', 'Pantheon', 'Malphite']","['41', '43', '45', '46', '47']",TOP
Vayne,PLATINUM_PLUS,2,"['Malphite', 'Nasus', 'Teemo', 'Irelia', 'Gragas']","['40', '43', '45', '47', '48']",TOP
Nasus,PLATINUM_PLUS,1,"['Tahm Kench', 'Sylas', 'Kled', 'Singed', 'Aatrox']","['47', '48', '49', '50', '50']",TOP
Quinn,PLATINUM_PLUS,2,"['Dr. Mundo', 'Tahm Kench', 'Malphite', 'Nasus', 'Ornn']","['42', '45', '46', '48', '48']",TOP
Urgot,PLATINUM_PLUS,2,"['Kayle', 'Dr. Mundo', 'Ornn', 'Poppy', 'Kled']","['46', '47', '47', '49', '49']",TOP
Kled,PLATINUM_PLUS,3,"['Singed', 'Vayne', 'Shen', 'Poppy', 'Kayle']","['44', '44', '46', '47', '48']",TOP
Garen,PLATINUM_PLUS,1,"['Kayle', 'Camille', 'Tryndamere', 'Trundle', 'Vayne']","['46', '47', '49', '50', '50']",TOP
Swain,PLATINUM_PLUS,3,"['Akali', 'Singed', 'Yone', 'Tryndamere', 'Sylas']","['41', '42', '44', '45', '45']",TOP
Kayle,PLATINUM_PLUS,2,"['Sylas', 'Quinn', 'Irelia', 'Tryndamere', 'Nasus']","['46', '47', '48', '49', '49']",TOP
Malphite,PLATINUM_PLUS,1,"['Sylas', 'Ornn', 'Tahm Kench', 'Dr. Mundo', 'Shen']","['45', '46', '46', '47', '47']",TOP
Sylas,PLATINUM_PLUS,2,"['Urgot', 'Ornn', 'Trundle', 'Pantheon', 'Dr. Mundo']","['43', '45', '45', '46', '46']",TOP
TahmKench,PLATINUM_PLUS,2,"['Poppy', 'Shen', 'Singed', 'Riven', 'Camille']","['47', '47', '48', '49', '49']",TOP
Maokai,PLATINUM_PLUS,3,"['Urgot', 'Dr. Mundo', 'Singed', 'Fiora', 'Trundle']","['39', '41', '43', '46', '46']",TOP
Trundle,PLATINUM_PLUS,1,"['Quinn', 'Gnar', 'Poppy', 'Kled', 'Malphite']","['47', '48', '48', '48', '49']",TOP
Teemo,PLATINUM_PLUS,2,"['Ryze', 'Ornn', 'Kled', 'Olaf', 'Malphite']","['43', '46', '47', '48', '48']",TOP
Tryndamere,PLATINUM_PLUS,2,"['Malphite', 'Ornn', 'Quinn', 'Nasus', 'Tahm Kench']","['43', '46', '47', '47', '47']",TOP
Warwick,PLATINUM_PLUS,3,"['Olaf', 'Poppy', 'Gragas', 'Vayne', 'Garen']","['43', '44', '45', '46', '47']",TOP
Riven,PLATINUM_PLUS,2,"['Quinn', 'Poppy', 'Vayne', 'Malphite', 'Urgot']","['44', '47', '47', '47', '47']",TOP
Fiddlesticks,PLATINUM_PLUS,3,"['Gnar', 'Olaf', 'Riven', 'Jax', 'Sylas']","['35', '36', '38', '41', '43']",TOP
DrMundo,PLATINUM_PLUS,2,"['Warwick', 'Vayne', 'Irelia', 'Riven', 'Trundle']","['43', '46', '47', '47', '48']",TOP
Neeko,PLATINUM_PLUS,3,"['Heimerdinger', 'Irelia', 'Urgot', 'Gangplank', 'Nasus']","['32', '33', '36', '38', '40']",TOP
Udyr,PLATINUM_PLUS,3,"['Kled', 'Gragas', 'Sylas', 'Poppy', 'Warwick']","['37', '41', '42', '44', '45']",TOP
Zed,PLATINUM_PLUS,3,"['Singed', 'Nasus', 'Shen', 'Gnar', 'Gwen']","['39', '43', '43', '43', '44']",TOP
Shen,PLATINUM_PLUS,3,"['Singed', 'Varus', 'Vayne', 'Kayle', 'Fiora']","['45', '45', '47', '47', '48']",TOP
Aatrox,PLATINUM_PLUS,1,"['Singed', 'Irelia', 'Malphite', 'Warwick', 'Kayle']","['45', '47', '48', '48', '48']",TOP
Mordekaiser,PLATINUM_PLUS,2,"['Vayne', 'Kayle', 'Olaf', 'Yone', 'Fiora']","['45', '47', '47', '48', '49']",TOP
Azir,PLATINUM_PLUS,4,"['Syndra', 'Akshan', ""Cho'Gath"", 'Jayce', 'Quinn']","['26', '32', '37', '39', '39']",TOP
AurelionSol,PLATINUM_PLUS,3,"['Riven', 'Varus', 'Irelia', 'Camille', 'Mordekaiser']","['24', '30', '31', '34', '36']",TOP
Jayce,PLATINUM_PLUS,2,"['Poppy', 'Rengar', 'Malphite', 'Ornn', 'Nasus']","['42', '44', '44', '44', '45']",TOP
Varus,PLATINUM_PLUS,3,"['Nasus', 'Malphite', 'Irelia', 'Urgot', 'Tryndamere']","['45', '45', '45', '46', '46']",TOP
Darius,PLATINUM_PLUS,1,"['Dr. Mundo', 'Vayne', 'Kayle', 'Quinn', 'Ornn']","['47', '47', '47', '48', '48']",TOP
Chogath,PLATINUM_PLUS,3,"['Kled', 'Dr. Mundo', 'Gwen', 'Trundle', 'Fiora']","['44', '45', '46', '47', '47']",TOP
Ksante,PLATINUM_PLUS,3,"['Singed', 'Quinn', 'Fiora', 'Vayne', 'Garen']","['45', '46', '46', '46', '46']",TOP
Lillia,PLATINUM_PLUS,3,"['Rumble', 'Sett', 'Gangplank', 'Gnar', 'Fiora']","['40', '41', '42', '43', '43']",TOP
Irelia,PLATINUM_PLUS,2,"['Tryndamere', 'Trundle', 'Jax', 'Warwick', 'Malphite']","['43', '44', '44', '45', '47']",TOP
Qiyana,PLATINUM_PLUS,4,"['Zac', 'Gragas', 'Ornn', 'Yasuo', 'Sylas']","['11', '18', '21', '27', '33']",TOP
Yorick,PLATINUM_PLUS,3,"['Warwick', 'Urgot', 'Irelia', 'Tryndamere', 'Kayle']","['40', '45', '45', '45', '46']",TOP
Anivia,PLATINUM_PLUS,3,"['Kled', 'Sylas', 'Sett', 'Tahm Kench', 'Fiora']","['11', '20', '37', '38', '39']",TOP
Kassadin,PLATINUM_PLUS,3,"['Zed', 'Darius', 'Tahm Kench', 'Jayce', 'Sett']","['0', '20', '20', '22', '22']",TOP
